bm,norm,zlook,ema,hz,sl,tp,rr,is_pf,is_wr,oos_pf,oos_wr,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,100,75,80,1.35,2.0,2.5,1.25,1.0045326543807165,47.506561679790025,1.1945383012482842,49.615975422427034,2556,1.0595743409265395,48.04381846635368,97651.16888763459,-72583.14709972023
15,100,75,80,1.35,2.0,3.0,1.5,0.9991424795658753,44.930747922437675,1.0900177571037144,45.29220779220779,2421,1.0260097616854893,45.02271788517142,42528.56495041542,-71415.80141377352
15,100,75,80,1.4,1.5,2.0,1.333,1.026102665554814,45.7635009310987,1.2036558997326823,48.817802503477054,2867,1.077250161332487,46.52947331705616,119523.59828464247,-59376.33321363015
15,100,75,80,1.4,1.5,2.5,1.667,1.0044542758856128,42.15158924205379,1.2150391250274541,44.78260869565217,2735,1.065325334313319,42.81535648994515,102516.14469674273,-60590.04643537632
15,100,75,80,1.4,1.5,3.0,2.0,0.9952774390224456,39.609053497942384,1.096485247541686,40.458015267175576,2599,1.025031092907638,39.823008849557525,39115.325138149856,-63101.41852961409
15,100,75,80,1.4,2.0,2.0,1.0,1.03422735843912,51.40986908358509,1.15559912089133,53.10650887573964,2662,1.0698147484490224,51.84072126220887,111354.26433752492,-52953.09915010256
15,100,75,80,1.4,2.0,2.5,1.25,1.0030082140551044,47.49199573105656,1.1892891270958184,49.690402476780186,2520,1.0574475342173995,48.05555555555556,93176.07040889656,-69676.10231255174
15,100,75,80,1.4,2.0,3.0,1.5,0.9971736622022676,44.932432432432435,1.082994832691973,45.335515548281506,2387,1.022801858366904,45.03560955173858,36848.2187732686,-69115.7759718363
15,100,75,80,1.45,1.5,2.0,1.333,1.0261029574718432,45.94078319006686,1.1925938250815158,48.66760168302945,2807,1.0748264225313724,46.63341645885287,113733.75181262291,-59244.883835151864
15,100,75,80,1.45,1.5,2.5,1.667,0.9927341161389989,42.205513784461154,1.2054098264832505,44.67153284671533,2680,1.0550137345487025,42.83582089552239,85052.02777068982,-64619.38121581061
15,100,75,80,1.45,1.5,3.0,2.0,0.9935539416575235,39.8211467648606,1.0844505733634096,40.30769230769231,2551,1.0206572441299135,39.945119560956485,31765.036475215675,-64947.70394905772
15,100,75,80,1.45,2.0,2.0,1.0,1.0329850212309326,51.54162384378212,1.1404984564768268,52.91479820627803,2615,1.0648956453215934,51.892925430210326,102065.44751587903,-61106.5927651572
15,100,75,80,1.45,2.0,2.5,1.25,0.9919490027550569,47.49727965179543,1.1756165074293015,49.53125,2478,1.04613801806364,48.0225988700565,73988.74375976906,-76746.09492603541
