entry_ts,exit_ts,direction,pnl_$,strat,cum,peak,dd
2021-11-23 10:00:00-05:00,2021-11-23 10:20:00-05:00,SHORT,1596.558963346688,RV,110899.50978477758,111294.14998828647,-394.6402035088977
2021-11-23 10:45:00-05:00,2021-11-23 11:20:00-05:00,SHORT,-195.0,B2,110704.50978477758,111294.14998828647,-589.6402035088977
2021-11-23 11:20:00-05:00,2021-11-23 13:40:00-05:00,SHORT,2273.784114747614,RV,112978.29389952519,112978.29389952519,0.0
2021-11-23 11:35:00-05:00,2021-11-23 14:00:00-05:00,SHORT,795.0,B2,113773.29389952519,113773.29389952519,0.0
2021-11-23 14:00:00-05:00,2021-11-23 15:00:00-05:00,SHORT,-1190.0,RV,112583.29389952519,113773.29389952519,-1190.0
2021-11-23 19:00:00-05:00,2021-11-24 05:20:00-05:00,LONG,-1480.0,OD,111103.29389952519,113773.29389952519,-2670.0
2021-11-24 10:25:00-05:00,2021-11-24 11:40:00-05:00,LONG,1744.7915764307254,B2,112848.08547595592,113773.29389952519,-925.2084235692746
2021-11-24 11:50:00-05:00,2021-11-24 14:00:00-05:00,LONG,-480.0,FB,112368.08547595592,113773.29389952519,-1405.2084235692746
2021-11-24 12:15:00-05:00,2021-11-24 16:20:00-05:00,LONG,665.0,B2,113033.08547595592,113773.29389952519,-740.2084235692746
2021-11-24 19:00:00-05:00,2021-11-25 05:20:00-05:00,LONG,985.0,OD,114018.08547595592,114018.08547595592,0.0
2021-11-25 19:00:00-05:00,2021-11-26 06:20:00-05:00,LONG,-3575.0,OD,110443.08547595592,114018.08547595592,-3575.0
2021-11-26 09:20:00-05:00,2021-11-26 10:20:00-05:00,SHORT,1770.7529031284505,RV,112213.83837908437,114018.08547595592,-1804.2470968715497
2021-11-26 12:40:00-05:00,2021-11-26 13:00:00-05:00,SHORT,2481.029667353905,RV,114694.86804643826,114694.86804643826,0.0
2021-11-28 19:00:00-05:00,2021-11-29 06:40:00-05:00,LONG,-280.0,OD,114414.86804643826,114694.86804643826,-280.0
2021-11-29 11:10:00-05:00,2021-11-29 12:20:00-05:00,LONG,1593.2982850780536,B2,116008.16633151632,116008.16633151632,0.0
2021-11-29 11:00:00-05:00,2021-11-29 14:00:00-05:00,LONG,2730.0,FB,118738.16633151632,118738.16633151632,0.0
2021-11-29 19:00:00-05:00,2021-11-30 05:00:00-05:00,LONG,-2315.0,OD,116423.16633151632,118738.16633151632,-2315.0
2021-11-30 10:05:00-05:00,2021-11-30 10:50:00-05:00,LONG,-2685.0,FB,113738.16633151632,118738.16633151632,-5000.0
