entry_ts,exit_ts,entry_close,exit_close,drift,prev_drift,prev2_drift,sign,prev_sign,year
2025-01-27 19:00:00-05:00,2025-01-28 08:00:00-05:00,21305.75,21316.75,11.0,-501.0,14.25,1.0,-1.0,2025
2025-01-28 19:00:00-05:00,2025-01-29 08:00:00-05:00,21553.75,21593.5,39.75,11.0,-501.0,1.0,1.0,2025
2025-01-29 19:00:00-05:00,2025-01-30 08:00:00-05:00,21571.5,21638.5,67.0,39.75,11.0,1.0,1.0,2025
2025-01-30 19:00:00-05:00,2025-01-31 08:00:00-05:00,21698.25,21789.25,91.0,67.0,39.75,1.0,1.0,2025
2025-02-02 19:00:00-05:00,2025-02-03 08:00:00-05:00,21109.5,21226.75,117.25,91.0,67.0,1.0,1.0,2025
2025-02-03 19:00:00-05:00,2025-02-04 08:00:00-05:00,21540.75,21472.25,-68.5,117.25,91.0,-1.0,1.0,2025
2025-02-04 19:00:00-05:00,2025-02-05 08:00:00-05:00,21585.0,21504.25,-80.75,-68.5,117.25,-1.0,-1.0,2025
2025-02-05 19:00:00-05:00,2025-02-06 08:00:00-05:00,21784.5,21766.75,-17.75,-80.75,-68.5,-1.0,-1.0,2025
2025-02-06 19:00:00-05:00,2025-02-07 08:00:00-05:00,21850.75,21865.75,15.0,-17.75,-80.75,1.0,-1.0,2025
2025-02-10 19:00:00-05:00,2025-02-11 08:00:00-05:00,21786.0,21731.5,-54.5,15.0,-17.75,-1.0,1.0,2025
2025-02-11 19:00:00-05:00,2025-02-12 08:00:00-05:00,21810.0,21834.5,24.5,-54.5,15.0,1.0,-1.0,2025
2025-02-12 19:00:00-05:00,2025-02-13 08:00:00-05:00,21875.0,21812.0,-63.0,24.5,-54.5,-1.0,1.0,2025
2025-02-13 19:00:00-05:00,2025-02-14 08:00:00-05:00,22095.0,22087.75,-7.25,-63.0,24.5,-1.0,-1.0,2025
2025-02-16 19:00:00-05:00,2025-02-17 08:00:00-05:00,22217.5,22252.75,35.25,-7.25,-63.0,1.0,-1.0,2025
2025-02-17 19:00:00-05:00,2025-02-18 08:00:00-05:00,22225.75,22288.0,62.25,35.25,-7.25,1.0,1.0,2025
2025-02-18 19:00:00-05:00,2025-02-19 08:00:00-05:00,22263.0,22212.25,-50.75,62.25,35.25,-1.0,1.0,2025
2025-02-19 19:00:00-05:00,2025-02-20 08:00:00-05:00,22209.0,22199.0,-10.0,-50.75,62.25,-1.0,-1.0,2025
2025-02-20 19:00:00-05:00,2025-02-21 08:00:00-05:00,22163.0,22223.75,60.75,-10.0,-50.75,1.0,-1.0,2025
2025-02-23 19:00:00-05:00,2025-02-24 08:00:00-05:00,21764.25,21776.0,11.75,60.75,-10.0,1.0,1.0,2025
2025-02-24 19:00:00-05:00,2025-02-25 08:00:00-05:00,21415.25,21422.25,7.0,11.75,60.75,1.0,1.0,2025
2025-02-25 19:00:00-05:00,2025-02-26 08:00:00-05:00,21224.25,21299.5,75.25,7.0,11.75,1.0,1.0,2025
2025-02-26 19:00:00-05:00,2025-02-27 08:00:00-05:00,21193.5,21368.5,175.0,75.25,7.0,1.0,1.0,2025
2025-02-27 19:00:00-05:00,2025-02-28 08:00:00-05:00,20670.25,20590.0,-80.25,175.0,75.25,-1.0,1.0,2025
2025-03-02 19:00:00-05:00,2025-03-03 08:00:00-05:00,20874.25,21053.75,179.5,-80.25,175.0,1.0,-1.0,2025
2025-03-03 19:00:00-05:00,2025-03-04 08:00:00-05:00,20526.0,20283.0,-243.0,179.5,-80.25,-1.0,1.0,2025
2025-03-04 19:00:00-05:00,2025-03-05 08:00:00-05:00,20550.5,20459.25,-91.25,-243.0,179.5,-1.0,-1.0,2025
2025-03-05 19:00:00-05:00,2025-03-06 08:00:00-05:00,20628.0,20328.5,-299.5,-91.25,-243.0,-1.0,-1.0,2025
2025-03-06 19:00:00-05:00,2025-03-07 08:00:00-05:00,20196.75,20099.5,-97.25,-299.5,-91.25,-1.0,-1.0,2025
2025-03-09 19:00:00-04:00,2025-03-10 08:00:00-04:00,20041.5,19895.25,-146.25,-97.25,-299.5,-1.0,-1.0,2025
2025-03-10 19:00:00-04:00,2025-03-11 08:00:00-04:00,19306.0,19503.75,197.75,-146.25,-97.25,1.0,-1.0,2025
2025-03-11 19:00:00-04:00,2025-03-12 08:00:00-04:00,19443.0,19600.25,157.25,197.75,-146.25,1.0,1.0,2025
2025-03-12 19:00:00-04:00,2025-03-13 08:00:00-04:00,19647.75,19498.5,-149.25,157.25,197.75,-1.0,1.0,2025
2025-03-13 19:00:00-04:00,2025-03-14 08:00:00-04:00,19361.25,19484.0,122.75,-149.25,157.25,1.0,-1.0,2025
2025-03-16 19:00:00-04:00,2025-03-17 08:00:00-04:00,19578.25,19882.0,303.75,122.75,-149.25,1.0,1.0,2025
2025-03-17 19:00:00-04:00,2025-03-18 08:00:00-04:00,20027.0,19940.25,-86.75,303.75,122.75,-1.0,1.0,2025
2025-03-18 19:00:00-04:00,2025-03-19 08:00:00-04:00,19697.5,19767.5,70.0,-86.75,303.75,1.0,-1.0,2025
2025-03-19 19:00:00-04:00,2025-03-20 08:00:00-04:00,20009.25,19840.75,-168.5,70.0,-86.75,-1.0,1.0,2025
2025-03-20 19:00:00-04:00,2025-03-21 08:00:00-04:00,19856.5,19809.25,-47.25,-168.5,70.0,-1.0,-1.0,2025
2025-03-23 19:00:00-04:00,2025-03-24 08:00:00-04:00,20062.75,20241.5,178.75,-47.25,-168.5,1.0,-1.0,2025
2025-03-24 19:00:00-04:00,2025-03-25 08:00:00-04:00,20351.0,20410.5,59.5,178.75,-47.25,1.0,1.0,2025
2025-03-25 19:00:00-04:00,2025-03-26 08:00:00-04:00,20514.25,20467.75,-46.5,59.5,178.75,-1.0,1.0,2025
2025-03-26 19:00:00-04:00,2025-03-27 08:00:00-04:00,20022.5,20067.75,45.25,-46.5,59.5,1.0,-1.0,2025
2025-03-27 19:00:00-04:00,2025-03-28 08:00:00-04:00,19969.5,19939.0,-30.5,45.25,-46.5,-1.0,1.0,2025
2025-03-30 19:00:00-04:00,2025-03-31 08:00:00-04:00,19288.75,19151.5,-137.25,-30.5,45.25,-1.0,-1.0,2025
2025-03-31 19:00:00-04:00,2025-04-01 08:00:00-04:00,19381.5,19362.25,-19.25,-137.25,-30.5,-1.0,-1.0,2025
2025-04-01 19:00:00-04:00,2025-04-02 08:00:00-04:00,19650.75,19400.0,-250.75,-19.25,-137.25,-1.0,-1.0,2025
2025-04-02 19:00:00-04:00,2025-04-03 08:00:00-04:00,18904.5,19020.5,116.0,-250.75,-19.25,1.0,-1.0,2025
2025-04-03 19:00:00-04:00,2025-04-04 08:00:00-04:00,18637.25,18128.0,-509.25,116.0,-250.75,-1.0,1.0,2025
2025-04-06 19:00:00-04:00,2025-04-07 08:00:00-04:00,16580.25,16975.75,395.5,-509.25,116.0,1.0,-1.0,2025
