date,fill_idx,dir,kind,bos,sl,tp,pnl_pts,reason
2023-03-07,622,1,REV,True,50.0,76.0,-50.0,SL
2023-03-08,571,1,CONT,False,25.0,38.0,-25.0,SL
2023-03-09,580,1,CONT,False,25.0,38.0,-25.0,SL
2023-03-13,576,-1,CONT,False,50.0,76.0,-50.0,SL
2023-03-13,600,-1,REV,False,50.0,76.0,-50.0,SL
2023-03-13,624,-1,REV,False,50.0,76.0,-50.0,SL
2023-03-14,578,1,CONT,False,50.0,76.0,76.0,TP
2023-03-16,577,-1,CONT,False,25.0,38.0,-25.0,SL
2023-03-20,575,-1,CONT,False,50.0,76.0,-50.0,SL
2023-03-27,572,-1,CONT,False,25.0,38.0,-25.0,SL
2023-03-28,573,-1,CONT,False,25.0,38.0,38.0,TP
2023-03-28,579,-1,CONT,False,25.0,38.0,-25.0,SL
2023-03-29,573,1,CONT,False,25.0,38.0,-25.0,SL
2023-03-30,571,-1,CONT,False,25.0,38.0,-25.0,SL
2023-04-03,571,-1,CONT,False,25.0,38.0,-25.0,SL
2023-04-03,574,1,CONT,False,25.0,38.0,-25.0,SL
2023-04-04,580,-1,CONT,False,25.0,38.0,-25.0,SL
2023-04-06,573,-1,CONT,False,25.0,38.0,-25.0,SL
2023-04-10,572,-1,CONT,False,25.0,38.0,38.0,TP
2023-04-11,571,-1,CONT,False,25.0,38.0,38.0,TP
2023-04-13,579,1,CONT,False,50.0,76.0,76.0,TP
2023-04-17,575,1,CONT,False,25.0,38.0,-25.0,SL
2023-04-18,574,-1,CONT,False,25.0,38.0,-25.0,SL
2023-04-19,573,1,CONT,False,25.0,38.0,38.0,TP
2023-04-20,572,1,CONT,False,25.0,38.0,38.0,TP
2023-04-21,575,-1,CONT,False,25.0,38.0,38.0,TP
2023-04-24,572,-1,CONT,False,25.0,38.0,-25.0,SL
2023-04-24,574,1,CONT,False,50.0,76.0,-50.0,SL
2023-04-27,574,-1,CONT,False,25.0,38.0,-25.0,SL
2023-04-28,574,-1,CONT,False,25.0,38.0,-25.0,SL
2023-05-02,571,-1,CONT,False,25.0,38.0,-25.0,SL
2023-05-03,573,-1,CONT,False,25.0,38.0,-25.0,SL
2023-05-04,573,-1,CONT,False,25.0,38.0,-25.0,SL
2023-05-04,579,-1,CONT,False,25.0,38.0,38.0,TP
2023-05-08,579,-1,CONT,False,25.0,38.0,-25.0,SL
2023-05-10,572,1,CONT,False,50.0,76.0,-50.0,SL
2023-05-10,619,-1,REV,True,50.0,76.0,76.0,TP
2023-05-11,572,-1,CONT,False,25.0,38.0,38.0,TP
2023-05-12,579,-1,CONT,False,25.0,38.0,38.0,TP
2023-05-16,571,1,CONT,False,25.0,38.0,38.0,TP
2023-05-17,575,-1,CONT,False,25.0,38.0,38.0,TP
2023-05-19,579,1,CONT,False,25.0,38.0,-25.0,SL
