delta,lowz,sl,tp,n_is,n_oos,pf_is,pf_oos,wr_is,wr_oos,pnl_is,pnl_oos,mdd_is,mdd_oos
50,0.9,1.5,2.0,1874,522,1.0145682139747867,1.1478435995394154,47.54535752401281,49.616858237547895,14965.861790726703,50928.91951649668,-43119.02108283906,-31007.439954174115
50,0.9,1.5,2.25,1816,509,1.0179771355979554,1.1074552061956866,45.81497797356828,47.347740667976424,18431.14232817781,37485.90663504918,-44143.671965298636,-32433.562543165463
50,0.9,1.5,2.5,1770,502,1.007533918678581,1.107087860984832,44.51977401129943,45.61752988047809,7687.757089629085,37630.54609064959,-51625.309904163114,-34376.77804744126
50,0.9,1.5,2.75,1727,497,1.0020642970208478,1.1110802807131717,43.080486392588305,44.265593561368206,2096.8250455362795,39522.143773918724,-53604.53928679035,-35335.35834851864
50,0.9,1.5,3.0,1704,484,0.993850270639716,1.1290157986002753,42.25352112676056,43.388429752066116,-6251.633849047139,45790.54402895585,-59974.85046269507,-33125.170158780165
50,0.9,1.75,1.0,2114,574,1.0833185582264855,0.9932772504001917,62.96121097445601,59.75609756097561,75075.48602363502,-2195.4027820407646,-25842.83011683401,-32509.658402560308
50,0.9,1.75,1.25,1997,558,1.0179567648676275,1.0692286547514285,57.43615423134702,56.81003584229391,17521.1271575504,23330.212452621854,-36253.201682172585,-24520.59984266394
50,0.9,1.75,1.5,1911,531,1.006964294400406,1.0807877347441541,54.16012558869702,55.1789077212806,7021.404503835147,27587.314950378786,-42210.50143006694,-28848.354104878745
50,0.9,1.75,1.75,1853,515,1.0283135553915992,1.1066798938625695,52.293577981651374,53.786407766990294,28897.830737503064,37343.52522258225,-36521.19587058776,-27584.9120101054
50,0.9,1.75,2.0,1796,504,1.0411506763198237,1.1184061929850535,50.501113585746104,51.98412698412698,42198.007702593604,42066.32823615102,-35091.675931148384,-31571.766967540752
50,0.9,1.75,2.25,1736,491,1.039667362647522,1.0685696120814487,48.675115207373274,49.490835030549896,40715.4015280493,24860.054569303393,-41488.99016414722,-34629.71974034408
50,0.9,1.75,2.5,1691,483,1.0294350911843186,1.0679021722916173,47.486694263749264,47.82608695652174,30092.907152984953,24794.520383138442,-44601.44017907718,-38239.856934840354
50,0.9,1.75,2.75,1650,478,1.02901641077667,1.0701367756192872,46.24242424242424,46.44351464435147,29574.98984555823,25966.25028378985,-43490.32206101092,-43277.49172035881
50,0.9,1.75,3.0,1624,465,1.0300396614432628,1.086392758893774,45.504926108374384,45.59139784946237,30508.786837722764,31936.106256507555,-48262.42073407422,-36088.16880786384
50,0.9,2.0,1.0,2073,559,1.1181665525561926,1.0398509658907031,65.36420646406175,62.25402504472272,104926.08658181693,12630.88405983719,-24933.636594260497,-27350.104891741357
50,0.9,2.0,1.25,1947,539,1.0520295143129055,1.126080625186339,59.93836671802774,59.74025974025974,49991.117339956436,40827.42489823402,-34490.61568965211,-22093.40904696808
50,0.9,2.0,1.5,1852,515,1.0340319669629787,1.1347954409977208,56.53347732181425,58.25242718446602,33851.02162431678,44645.017607676564,-34761.230886605845,-22563.64285278585
50,0.9,2.0,1.75,1794,499,1.0565608171476217,1.1719467806734796,54.73801560758083,56.91382765531062,57009.01092293945,58106.05707997951,-32243.051805493233,-19866.415456028044
50,0.9,2.0,2.0,1734,488,1.063439430404291,1.1796670981514925,52.65282583621684,54.71311475409836,64353.99942512369,61794.061927584626,-28252.323736065926,-23429.435379617134
50,0.9,2.0,2.25,1676,473,1.0620155760644585,1.125205990886368,50.83532219570406,52.43128964059196,63218.18785294516,44091.56884704782,-38839.9703749851,-27188.264382620036
