sl_mult,tp_mult,no_n,no_total_pts,no_wr,no_pf,no_mdd_pts,no_avg,no_tp,no_sl,no_fc,mart_n,mart_total_pts,mart_wr,mart_pf,mart_mdd_pts,mart_avg,mart_total_mnq_$,mart_mdd_mnq_$
1.25,1.75,940,-1102.2553039543923,40.319148936170215,0.9403477385371325,-2039.1035264960733,-1.172612025483396,372,0,13,940,-1085.6241469538713,40.319148936170215,0.941550243860282,-2005.2672762590055,-1.154919305270076,-2171.2482939077427,-4010.534552518011
1.25,2.0,920,559.1643163065795,39.565217391304344,1.0305405877706049,-1192.3122269275816,0.6077873003332386,353,0,19,920,494.746360122337,39.565217391304344,1.0267407444647345,-1221.9566067993796,0.5377677827416707,989.492720244674,-2443.9132135987593
1.25,2.25,911,-24.902130270707687,36.44346871569704,0.9986923062943242,-1264.0292936466828,-0.027334939923938185,315,0,27,911,-123.1061202757474,36.44346871569704,0.9936165850027493,-1295.2932461078249,-0.13513295310180834,-246.2122405514948,-2590.5864922156497
1.25,2.5,897,-217.98417607032673,34.11371237458194,0.9887564858270583,-1622.8552225451108,-0.24301468904161286,280,0,38,897,-499.8361515793358,34.11371237458194,0.9746699245783353,-1813.1234351098772,-0.557230938215536,-999.6723031586716,-3626.2468702197543
1.25,2.75,888,1201.1289047868854,33.78378378378378,1.0622792377587322,-1121.5019727421213,1.352622640525772,268,0,44,888,913.7252550647434,33.78378378378378,1.046515514568689,-1308.834472090776,1.028969881829666,1827.4505101294867,-2617.668944181552
1.25,3.0,872,2032.9014776269155,33.142201834862384,1.1061576133166187,-892.7163958394472,2.3313090339758205,248,0,53,872,1751.8489919372412,33.142201834862384,1.0898056743618678,-1042.3522426143006,2.009001137542708,3503.6979838744824,-2084.7044852286012
1.25,3.25,867,2804.7927931516233,32.641291810841984,1.1463902450576333,-870.070377312042,3.235055124742357,226,0,70,867,2594.6295996609215,32.641291810841984,1.1329422764275379,-998.7550583598347,2.992652364084108,5189.259199321843,-1997.5101167196694
1.25,3.5,858,1911.3672603134428,31.23543123543124,1.0985542967369073,-1154.6542069200923,2.2277007695960873,200,0,84,858,1799.9619841126212,31.23543123543124,1.0908406052394872,-1349.3840018092064,2.0978577903410502,3599.9239682252423,-2698.768003618413
1.25,3.75,842,2482.3258382640533,30.760095011876487,1.129498248524255,-1000.348509687564,2.948130449244719,183,0,93,842,2375.526180597765,30.760095011876487,1.1211587514240857,-1144.7990633164025,2.8212900007099346,4751.05236119553,-2289.598126632805
1.25,4.0,833,2358.428825429082,30.372148859543817,1.1235130010118002,-1077.1061916689468,2.8312470893506383,160,0,110,833,2237.585585885319,30.372148859543817,1.1145570218148906,-1267.6230141200408,2.6861771739319553,4475.171171770638,-2535.2460282400816
1.25,4.25,827,1962.4347029984751,29.504232164449817,1.1020379695902616,-1108.7594780098743,2.3729561100344316,149,0,115,827,1753.54090845158,29.504232164449817,1.0886786873086822,-1235.1588481872493,2.120363855443265,3507.08181690316,-2470.3176963744986
1.25,4.5,823,1928.0255325583198,28.918590522478738,1.1000090954525468,-1124.4422695730898,2.3426798694511786,137,0,122,823,1691.6598379249585,28.918590522478738,1.0851646778528028,-1379.3269923884957,2.05547975446532,3383.319675849917,-2758.6539847769914
