date,strat,tp,mae_pre,flat_pnl
2025-08-21,OD,0,1310.0,-930.0
2025-08-22,FB,1,200.0,485.0
2025-08-22,B2,1,860.0,660.0
2025-08-24,OD,0,530.0,-500.0
2025-08-25,FB,1,475.0,665.0
2025-08-25,OD,0,2050.0,-1720.0
2025-08-26,FB,0,1235.0,-625.0
2025-08-26,OD,0,405.0,-325.0
2025-08-27,OD,1,410.0,690.0
2025-08-28,FB,0,1245.0,860.0
2025-08-28,OD,0,475.0,-425.0
2025-08-29,RV,1,130.0,770.0
2025-08-29,RV,1,565.0,-115.0
2025-08-31,OD,0,1070.0,-1020.0
2025-09-01,OD,0,415.0,-205.0
2025-09-02,RV,1,925.0,3545.0
2025-09-02,OD,1,655.0,1870.0
2025-09-03,OD,1,360.0,595.0
2025-09-04,FB,1,660.0,1380.0
2025-09-04,B2,1,780.0,1680.0
2025-09-04,OD,1,180.0,1400.0
2025-09-05,RV,1,495.0,-550.0
2025-09-07,OD,0,230.0,-105.0
2025-09-08,FB,0,1725.0,-1450.0
2025-09-08,B2,0,1990.0,-1010.0
2025-09-08,OD,1,645.0,650.0
2025-09-09,RV,0,1395.0,-1250.0
2025-09-09,OD,1,295.0,655.0
2025-09-10,RV,0,1450.0,-905.0
2025-09-10,OD,0,670.0,-420.0
2025-09-11,FB,0,455.0,190.0
2025-09-11,OD,0,505.0,-475.0
2025-09-12,FB,0,165.0,675.0
2025-09-12,B2,1,460.0,850.0
2025-09-14,OD,1,555.0,4860.0
2025-09-15,FB,1,65.0,1155.0
2025-09-15,OD,1,265.0,1475.0
2025-09-16,OD,0,495.0,-465.0
2025-09-17,OD,1,290.0,510.0
2025-09-18,OD,0,1000.0,-965.0
2025-09-21,OD,0,455.0,-390.0
2025-09-22,FB,1,570.0,2865.0
2025-09-22,OD,0,195.0,-40.0
2025-09-23,B2,1,220.0,1440.0
2025-09-23,OD,0,750.0,230.0
2025-09-24,B2,1,15.0,1365.0
2025-09-24,RV,0,1265.0,-685.0
2025-09-24,OD,1,30.0,370.0
2025-09-25,RV,1,1820.0,40.0
2025-09-25,OD,0,1085.0,-1045.0
2025-09-28,OD,1,80.0,1295.0
2025-09-29,FB,0,2140.0,-1900.0
2025-09-29,B2,0,1415.0,-520.0
2025-09-29,OD,0,475.0,-345.0
2025-09-30,RV,0,1545.0,-390.0
2025-09-30,OD,0,985.0,-805.0
2025-10-01,FB,1,70.0,2710.0
2025-10-01,B2,0,680.0,-305.0
2025-10-01,OD,1,435.0,1565.0
2025-10-02,OD,1,15.0,1215.0
2025-10-03,RV,0,2170.0,-1700.0
2025-10-03,RV,1,945.0,1380.0
2025-10-03,RV,0,755.0,-20.0
2025-10-05,OD,0,195.0,285.0
2025-10-06,OD,0,435.0,215.0
2025-10-07,B2,1,110.0,1480.0
2025-10-07,B2,0,1430.0,-1065.0
2025-10-07,OD,0,395.0,385.0
2025-10-08,FB,1,245.0,3170.0
2025-10-08,RV,1,660.0,1295.0
2025-10-08,B2,1,370.0,1025.0
2025-10-08,B2,1,5.0,1555.0
2025-10-08,OD,0,1235.0,-1085.0
2025-10-09,RV,1,465.0,990.0
2025-10-09,B2,1,785.0,395.0
2025-10-09,OD,0,90.0,155.0
2025-10-10,RV,0,1365.0,-750.0
2025-10-10,FB,0,7260.0,-6525.0
2025-10-10,RV,1,15.0,2170.0
2025-10-12,OD,1,0.0,2980.0
2025-10-13,FB,1,855.0,-1565.0
2025-10-13,OD,1,425.0,2020.0
2025-10-14,RV,1,300.0,-3270.0
2025-10-14,OD,1,1245.0,2045.0
2025-10-15,RV,1,20.0,1800.0
2025-10-15,OD,1,1430.0,1300.0
2025-10-16,B2,0,4765.0,-855.0
2025-10-16,OD,1,865.0,-465.0
2025-10-17,FB,0,2155.0,135.0
2025-10-19,OD,1,1615.0,1740.0
2025-10-20,FB,1,345.0,2510.0
2025-10-20,OD,0,285.0,75.0
2025-10-21,RV,0,1380.0,515.0
2025-10-21,OD,1,765.0,1305.0
2025-10-22,RV,1,455.0,1700.0
2025-10-22,RV,1,385.0,1445.0
2025-10-22,RV,0,1615.0,-1485.0
2025-10-22,OD,1,1890.0,115.0
2025-10-23,FB,1,1065.0,2555.0
2025-10-23,RV,1,1530.0,2365.0
2025-10-23,B2,1,1345.0,1975.0
2025-10-23,OD,1,245.0,1245.0
2025-10-24,B2,0,1995.0,-150.0
2025-10-24,FB,0,420.0,95.0
2025-10-26,OD,1,370.0,1340.0
2025-10-27,FB,1,130.0,995.0
2025-10-27,OD,0,625.0,-520.0
2025-10-28,FB,1,1180.0,1815.0
2025-10-28,RV,1,135.0,1570.0
2025-10-28,OD,1,330.0,1560.0
2025-10-29,FB,0,770.0,-450.0
2025-10-29,RV,0,1070.0,-335.0
2025-10-29,OD,1,635.0,3270.0
2025-10-30,RV,1,1150.0,1280.0
2025-10-30,B2,0,3915.0,750.0
2025-10-30,OD,1,70.0,635.0
2025-10-31,B2,0,2350.0,-2275.0
2025-11-02,OD,0,735.0,-670.0
2025-11-03,OD,0,1370.0,-1340.0
2025-11-04,RV,1,365.0,2380.0
2025-11-04,OD,0,3935.0,-3845.0
2025-11-05,FB,1,600.0,3125.0
2025-11-05,B2,1,70.0,3070.0
2025-11-05,OD,0,2080.0,-770.0
2025-11-06,OD,1,10.0,-970.0
2025-11-07,RV,1,65.0,2725.0
2025-11-07,B2,1,895.0,2560.0
2025-11-07,RV,0,1840.0,-740.0
2025-11-09,OD,1,385.0,2230.0
2025-11-10,FB,0,2905.0,-2655.0
2025-11-10,OD,0,495.0,-380.0
2025-11-11,B2,0,2965.0,-2955.0
2025-11-11,RV,1,660.0,-1410.0
2025-11-11,FB,0,1005.0,310.0
2025-11-11,B2,0,680.0,135.0
2025-11-11,OD,1,100.0,920.0
2025-11-12,B2,1,675.0,895.0
2025-11-12,B2,0,1625.0,-1410.0
2025-11-12,OD,1,660.0,2100.0
2025-11-13,B2,1,3225.0,2470.0
2025-11-13,OD,0,1205.0,-1105.0
2025-11-14,RV,1,175.0,-4370.0
2025-11-16,OD,1,355.0,2455.0
2025-11-17,RV,1,1655.0,1130.0
2025-11-17,RV,1,1725.0,5030.0
2025-11-17,B2,0,3250.0,-150.0
2025-11-17,OD,1,960.0,-760.0
2025-11-18,OD,1,20.0,1535.0
2025-11-19,FB,1,255.0,-4225.0
2025-11-19,OD,1,505.0,-240.0
2025-11-20,OD,1,265.0,-1960.0
2025-11-21,RV,0,7235.0,-6945.0
2025-11-23,OD,1,250.0,2380.0
2025-11-24,B2,1,275.0,2825.0
2025-11-24,FB,1,275.0,6060.0
2025-11-24,OD,0,780.0,-640.0
2025-11-25,FB,0,1275.0,-540.0
2025-11-25,RV,0,2055.0,-75.0
2025-11-25,OD,1,150.0,1885.0
2025-11-26,FB,0,2570.0,-1675.0
2025-11-26,OD,0,455.0,-315.0
2025-11-27,OD,1,285.0,1420.0
2025-11-30,OD,0,2800.0,-2100.0
2025-12-01,FB,1,560.0,2300.0
2025-12-01,OD,0,1150.0,-940.0
2025-12-02,FB,0,3835.0,-3500.0
2025-12-02,B2,1,480.0,1245.0
2025-12-02,B2,1,640.0,0.0
2025-12-02,OD,1,745.0,355.0
2025-12-03,OD,0,1160.0,-810.0
2025-12-04,RV,1,220.0,965.0
2025-12-04,RV,0,3065.0,-1060.0
2025-12-04,OD,1,45.0,1740.0
2025-12-05,FB,1,595.0,-1485.0
2025-12-07,OD,1,45.0,1515.0
2025-12-08,OD,0,935.0,-835.0
2025-12-09,FB,1,890.0,650.0
2025-12-09,OD,0,655.0,70.0
2025-12-10,RV,0,2840.0,-1925.0
2025-12-10,OD,0,2135.0,-1910.0
2025-12-11,RV,1,1140.0,-2580.0
2025-12-11,OD,0,1035.0,-815.0
2025-12-12,B2,1,195.0,5005.0
2025-12-12,RV,1,90.0,1230.0
2025-12-14,OD,1,220.0,1705.0
2025-12-15,OD,0,2840.0,-2650.0
2025-12-16,OD,1,290.0,2215.0
2025-12-17,OD,0,1220.0,-935.0
2025-12-18,OD,1,400.0,2480.0
2025-12-21,OD,1,120.0,1230.0
2025-12-22,OD,0,495.0,-495.0
2025-12-23,B2,0,470.0,760.0
2025-12-23,FB,0,470.0,125.0
2025-12-23,OD,0,540.0,-475.0
2025-12-24,FB,0,305.0,-60.0
2025-12-25,OD,0,440.0,-410.0
2025-12-28,OD,0,225.0,-200.0
2025-12-29,OD,0,365.0,-220.0
2025-12-30,FB,0,1170.0,-755.0
2025-12-30,OD,0,1045.0,-825.0
2026-01-01,OD,1,120.0,2090.0
2026-01-02,RV,0,1650.0,-1380.0
2026-01-04,OD,0,755.0,-100.0
2026-01-05,FB,1,360.0,-375.0
2026-01-05,OD,1,160.0,1800.0
2026-01-06,FB,1,80.0,1775.0
2026-01-06,RV,0,2275.0,-1430.0
2026-01-06,B2,1,2485.0,1175.0
2026-01-06,OD,0,895.0,-810.0
2026-01-07,FB,1,950.0,1915.0
2026-01-07,B2,1,60.0,1045.0
2026-01-07,B2,1,120.0,1580.0
2026-01-07,OD,0,980.0,-735.0
2026-01-08,RV,1,540.0,305.0
2026-01-08,OD,0,1175.0,-1050.0
2026-01-09,RV,1,1630.0,2410.0
2026-01-09,FB,1,615.0,875.0
2026-01-09,B2,1,770.0,200.0
2026-01-11,OD,0,3155.0,-2605.0
2026-01-12,FB,1,255.0,1445.0
2026-01-12,OD,0,980.0,-250.0
2026-01-13,B2,1,80.0,-995.0
2026-01-13,OD,0,935.0,-790.0
2026-01-14,RV,1,495.0,3055.0
2026-01-14,B2,1,425.0,2030.0
2026-01-14,RV,1,380.0,-505.0
2026-01-14,OD,1,675.0,2195.0
2026-01-15,OD,1,30.0,1610.0
2026-01-16,B2,0,905.0,-685.0
2026-01-18,OD,0,1535.0,-1510.0
2026-01-19,RV,0,2025.0,-1645.0
2026-01-19,OD,1,510.0,630.0
2026-01-20,RV,1,70.0,-1815.0
2026-01-20,OD,1,50.0,1995.0
2026-01-21,FB,1,2310.0,375.0
