k,mode,drift,giveback,scale_body,max_gb,min_gap,IS_pf,OOS_pf,FULL_pf,FULL_net,FULL_dd,n,robust_pf
1.5,drift_floor,0.0,0.7,False,1.0,0.3,1.2470330129544505,1.4444122336570517,1.3297067573310668,135765.0,-17950.0,709,1.2470330129544505
1.5,drift_floor,1.0,0.0,True,0.5,0.0,1.3639539786759833,1.2254855195911414,1.2989832459393784,93510.0,-16785.0,709,1.2254855195911414
1.5,drift_floor,1.0,0.3,True,0.5,0.0,1.2636845494625253,1.488110015025805,1.3604693751056516,127945.0,-15900.0,709,1.2636845494625253
1.5,drift_floor,1.0,0.3,True,0.5,0.3,1.3272701475595914,1.4158131487889274,1.3671655753040224,117750.0,-17245.0,709,1.3272701475595914
1.5,drift_floor,1.0,0.3,True,1.0,0.0,1.2614022977170751,1.4804928131416837,1.3557542495403057,126725.0,-16500.0,709,1.2614022977170751
1.5,drift_floor,1.0,0.3,True,1.0,0.3,1.3207189893451659,1.4081632653061225,1.3601489757914338,116040.0,-17245.0,709,1.3207189893451659
1.5,drift_floor,1.0,0.3,False,0.5,0.0,1.2500163309744148,1.4961100951554411,1.3515628996776998,137440.0,-22260.0,709,1.2500163309744148
1.5,drift_floor,1.0,0.3,False,0.5,0.3,1.3101626311834993,1.4434999221547564,1.3685229100226237,135200.0,-20305.0,709,1.3101626311834993
1.5,drift_floor,1.0,0.3,False,1.0,0.0,1.2086092715231789,1.4274531648538509,1.2991665554598504,123300.0,-19955.0,709,1.2086092715231789
1.5,drift_floor,1.0,0.3,False,1.0,0.3,1.2831983092638253,1.4859868813357184,1.3699897915323447,137725.0,-19340.0,709,1.2831983092638253
1.5,drift_floor,1.0,0.5,True,0.5,0.0,1.2868997540399512,1.4750422746915512,1.3665442687275475,138255.0,-16255.0,709,1.2868997540399512
1.5,drift_floor,1.0,0.5,True,0.5,0.3,1.323487424403665,1.4854728124363588,1.3936813308035123,133830.0,-14330.0,709,1.323487424403665
1.5,drift_floor,1.0,0.5,True,1.0,0.0,1.2516616314199396,1.4351748819584373,1.3283285798645577,130660.0,-18755.0,709,1.2516616314199396
1.5,drift_floor,1.0,0.5,True,1.0,0.3,1.2561366822707507,1.3579398874832935,1.3002450980392157,111475.0,-18585.0,709,1.2561366822707507
1.5,drift_floor,1.0,0.5,False,0.5,0.0,1.2388339513803048,1.4725258623216013,1.3353011625515647,138585.0,-20085.0,709,1.2388339513803048
1.5,drift_floor,1.0,0.5,False,0.5,0.3,1.2752486213341332,1.4887843479344507,1.366106817609396,138090.0,-18070.0,709,1.2752486213341332
1.5,drift_floor,1.0,0.5,False,1.0,0.0,1.2121466554715925,1.4344674049549035,1.3037221660514002,129170.0,-17950.0,709,1.2121466554715925
1.5,drift_floor,1.0,0.5,False,1.0,0.3,1.24859264967144,1.4400502380465579,1.3295617372399822,133400.0,-17305.0,709,1.24859264967144
1.5,drift_floor,1.0,0.7,True,0.5,0.0,1.293592147347524,1.4597218022376777,1.3636630316944072,142565.0,-17215.0,709,1.293592147347524
1.5,drift_floor,1.0,0.7,True,0.5,0.3,1.2704552072211976,1.4508500575226895,1.3483118172790467,126270.0,-17605.0,709,1.2704552072211976
1.5,drift_floor,1.0,0.7,True,1.0,0.0,1.220643880652565,1.4892309546043316,1.3299656694458069,134560.0,-17880.0,709,1.220643880652565
1.5,drift_floor,1.0,0.7,True,1.0,0.3,1.2597128283486507,1.4538124073158676,1.341442156339842,131235.0,-17660.0,709,1.2597128283486507
1.5,drift_floor,1.0,0.7,False,0.5,0.0,1.2654683501824742,1.4963816671133745,1.3608919846905498,146625.0,-20105.0,709,1.2654683501824742
