atr_len,yellow_atr_mult,yellow_drift,yellow_mode,green_atr_mult,green_base,green_decay,yellow_giveback,scale_by_body,max_giveback_atr,giveback_min_gap_atr,IS_trades,IS_win%,IS_avg_$,IS_gross_$,IS_PF,OOS_trades,OOS_win%,OOS_avg_$,OOS_gross_$,OOS_PF
20,0.79,0.93,drift_floor,1.7,157.9,0.58,0.44,False,0.44,0.18,765,43.66013071895425,10.457516339869281,8000.0,1.0303795545597814,620,47.90322580645161,190.99193548387098,118415.0,1.4146183473389355
12,1.58,0.63,pure_ratchet,2.96,143.0,0.21,0.77,False,0.92,0.15,764,49.86910994764398,1.3154450261780104,1005.0,1.0022783432703861,619,53.79644588045234,187.4394184168013,116025.0,1.2514438653331454
14,2.73,2.84,drift_floor,3.06,166.9,2.93,0.29,False,0.41,0.4,763,50.32765399737876,28.296199213630405,21590.0,1.0476837281210314,619,54.76575121163167,167.53634894991922,103705.0,1.2089731189295934
10,1.45,1.13,pure_ratchet,3.35,140.6,2.49,0.41,False,1.11,0.32,764,47.25130890052356,26.05366492146597,19905.0,1.0514394252635932,619,52.019386106623585,210.95315024232633,130580.0,1.3208945137310315
14,1.42,1.08,pure_ratchet,0.55,116.1,0.82,0.18,False,0.94,0.42,765,42.87581699346405,2.934640522875817,2245.0,1.0072893160381187,620,48.54838709677419,179.93548387096774,111560.0,1.334889305816135
16,2.38,1.97,raw_atr,3.56,80.0,1.75,0.41,True,0.69,0.58,764,53.403141361256544,45.93586387434555,35095.0,1.0760018624191958,618,56.63430420711975,189.0695792880259,116845.0,1.2364063084844867
14,1.46,2.23,raw_atr,1.15,58.9,1.45,0.28,False,1.47,0.31,764,55.235602094240846,25.274869109947645,19310.0,1.045703601140815,618,61.97411003236246,185.00809061488673,114335.0,1.2622843641035053
20,1.59,0.85,pure_ratchet,3.21,142.2,0.16,0.59,False,0.67,0.2,764,49.08376963350785,7.231675392670157,5525.0,1.0123928939930913,619,53.95799676898223,213.02100161550888,131860.0,1.2831618957630941
14,1.44,1.74,pure_ratchet,2.44,81.9,2.99,0.42,False,0.69,0.27,765,48.10457516339869,-4.660130718954249,-3565.0,0.9909578582932799,620,54.19354838709678,233.84677419354838,144985.0,1.3607085546529998
7,1.76,2.43,pure_ratchet,3.94,35.2,1.94,0.0,True,1.13,0.59,765,40.26143790849673,7.5816993464052285,5800.0,1.0204049323646853,620,46.774193548387096,175.73387096774192,108955.0,1.3435061557135426
25,1.51,1.48,pure_ratchet,1.14,58.2,2.39,0.59,True,1.35,0.42,765,56.470588235294116,17.823529411764707,13635.0,1.0383792608438653,620,61.12903225806452,167.59677419354838,103910.0,1.2782545824574558
20,2.05,2.11,drift_floor,2.81,159.2,2.96,0.54,False,1.33,0.23,764,52.74869109947644,6.393979057591623,4885.0,1.0102497928010155,620,57.41935483870968,227.4758064516129,141035.0,1.289995579178961
30,1.8,2.48,raw_atr,1.44,173.3,2.49,0.75,True,1.35,0.15,763,54.521625163827004,37.2870249017038,28450.0,1.0601619827021083,618,57.92880258899677,235.9304207119741,145805.0,1.2962582926110677
25,1.79,1.66,raw_atr,3.64,101.0,2.43,0.59,False,0.65,0.29,763,54.39056356487549,45.79292267365662,34940.0,1.0750091238917154,618,57.92880258899677,200.8495145631068,124125.0,1.248827279287948
20,2.47,1.62,raw_atr,3.71,127.8,1.47,0.26,True,0.7,0.59,762,53.41207349081365,34.803149606299215,26520.0,1.0567527659483404,617,56.401944894651535,206.30470016207457,127290.0,1.260514520783447
14,0.94,2.16,pure_ratchet,2.44,63.3,1.43,0.11,False,0.81,0.01,765,41.69934640522876,6.052287581699346,4630.0,1.0180771107857491,620,46.12903225806452,174.21774193548387,108015.0,1.3912878101793154
16,2.08,1.06,drift_floor,1.59,101.3,0.17,0.34,False,0.35,0.52,765,45.09803921568628,-16.104575163398692,-12320.0,0.9707471121083686,620,51.774193548387096,226.03225806451613,140140.0,1.322732192616816
14,2.36,2.1,pure_ratchet,1.27,126.1,2.43,0.12,True,1.26,0.42,765,43.39869281045752,-6.529411764705882,-4995.0,0.9872519619728195,620,49.354838709677416,156.93548387096774,97300.0,1.2306780464675202
25,2.6,0.32,pure_ratchet,2.72,169.2,2.12,0.11,True,1.17,0.58,763,46.65792922673656,0.3800786369593709,290.0,1.0006728148019257,619,49.919224555735056,164.8626817447496,102050.0,1.2315240201917077
30,2.28,2.65,raw_atr,2.72,132.4,2.59,0.55,False,0.44,0.04,763,54.521625163827004,40.190039318479684,30665.0,1.064935889970036,618,58.57605177993528,228.57605177993528,141260.0,1.2829472503480255
12,1.28,0.44,drift_floor,1.11,47.5,2.28,0.62,True,1.44,0.38,765,50.06535947712418,30.33986928104575,23210.0,1.087961647054365,620,54.516129032258064,115.5241935483871,71625.0,1.2277895272472847
16,0.99,0.08,pure_ratchet,2.52,183.4,1.13,0.23,False,0.5,0.36,765,42.745098039215684,22.836601307189543,17470.0,1.0722781903560126,620,48.225806451612904,188.66129032258064,116970.0,1.4271160446943694
16,2.43,0.66,drift_floor,0.77,134.0,1.59,0.16,True,1.22,0.21,765,45.751633986928105,-7.967320261437909,-6095.0,0.9861441058458461,620,51.61290322580645,158.41129032258064,98215.0,1.2204082090640813
30,2.26,1.69,drift_floor,2.13,66.1,1.11,0.29,False,1.45,0.43,765,53.071895424836605,37.73856209150327,28870.0,1.0632559158632777,620,57.58064516129032,210.49193548387098,130505.0,1.26793339903096
25,0.8,0.97,raw_atr,2.11,144.1,1.09,0.33,True,0.38,0.26,763,41.8086500655308,-6.00262123197903,-4580.0,0.9840947370248824,618,45.63106796116505,208.33333333333334,128750.0,1.4139804826288966
7,3.0,1.05,raw_atr,0.74,192.3,0.12,0.0,True,0.56,0.5,762,54.85564304461942,3.851706036745407,2935.0,1.0058539601491912,617,59.48136142625607,257.5445705024311,158905.0,1.3323538023927048
20,0.91,2.59,drift_floor,2.03,102.8,0.23,0.0,True,0.79,0.24,765,42.22222222222222,-40.76470588235294,-31185.0,0.8378104277727214,620,45.806451612903224,130.5241935483871,80925.0,1.3478176777770614
25,1.49,1.36,pure_ratchet,3.16,88.2,2.26,0.14,False,0.57,0.05,765,43.66013071895425,0.7058823529411765,540.0,1.0013872297791993,620,50.0,219.91935483870967,136350.0,1.3323502169356018
16,2.88,2.3,pure_ratchet,1.51,41.6,1.49,0.0,True,0.41,0.32,764,55.75916230366492,12.650523560209423,9665.0,1.0236568351486965,620,62.41935483870967,167.32258064516128,103740.0,1.2486219623256483
16,2.66,1.8,drift_floor,3.29,121.9,0.12,0.29,False,1.08,0.04,763,54.12844036697248,20.078636959370904,15320.0,1.0317046418741334,619,57.83521809369952,195.12116316639742,120780.0,1.2388585102490828
10,1.53,0.33,raw_atr,2.87,107.6,2.0,0.0,True,0.74,0.36,763,54.914809960681524,4.613368283093053,3520.0,1.007020763109081,618,59.54692556634305,239.52265372168284,148025.0,1.3087230825381928
30,2.82,2.94,raw_atr,0.59,90.9,1.69,0.68,True,1.05,0.08,763,57.01179554390564,26.507208387942335,20225.0,1.042870920903416,618,63.26860841423948,187.61326860841424,115945.0,1.2553742125897538
10,2.74,0.47,raw_atr,0.67,34.7,1.33,0.85,True,1.01,0.25,765,72.81045751633987,36.111111111111114,27625.0,1.0806545794283378,620,75.16129032258064,135.25,83855.0,1.2460822866533632
20,1.29,1.19,raw_atr,2.76,102.3,2.79,0.26,False,0.26,0.37,764,45.94240837696335,-8.488219895287958,-6485.0,0.9845793503590622,618,50.80906148867314,191.82847896440128,118550.0,1.2707826543780907
25,1.96,2.2,raw_atr,3.64,107.9,0.82,0.41,True,0.74,0.4,763,52.6867627785059,39.84272608125819,30400.0,1.0668925758042511,617,56.401944894651535,197.69854132901133,121980.0,1.2471181702153522
