stop_mult,tp_mult,contract_type,num_contracts,challenge_pass_rate,challenge_avg_days,challenge_blowup_rate,funded_avg_payouts,funded_days_per_payout,funded_blowup_rate,funded_net_lifetime
0.6,2.5,MNQ,8,58.84,9.277022433718559,41.160000000000004,2.2556,13.206508246142933,100.0,4766.799999999999
0.6,2.5,MNQ,9,54.620000000000005,7.618454778469425,45.379999999999995,1.7384,11.3634376438104,100.0,3215.2
0.7,2.9,MNQ,1,99.64,133.38117221999198,0.3,10.2584,137.45472978242222,0.9199999999999999,28775.2
0.7,2.9,MNQ,2,89.94,60.37158105403602,10.059999999999999,15.4664,67.72519784823876,45.42,44399.2
0.7,2.9,MNQ,3,78.9,34.72446134347275,21.099999999999998,9.0488,44.09828927592609,95.06,25146.4
0.7,2.9,MNQ,4,69.76,22.637614678899084,30.240000000000002,4.7618,31.41702717459784,99.96000000000001,12285.4
0.7,2.9,MNQ,5,62.18,16.110324863300097,37.82,3.0,23.701,100.0,7000.0
0.7,2.9,MNQ,6,58.660000000000004,12.294237981588816,41.339999999999996,2.1046,18.47039817542526,100.0,4313.8
0.7,2.9,MNQ,7,53.559999999999995,9.762882748319642,46.44,1.6468,14.907578333738158,100.0,2940.4000000000005
0.7,2.9,MNQ,8,51.28,8.029251170046802,48.72,1.3544,12.494831659775546,100.0,2063.2000000000003
